timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
6823;32074;39541;1694;2572;45
6843;32074;37950;1872;2574;20
6863;32074;43541;2404;2564;40
6883;32074;42225;1955;2578;30
6904;32074;44383;2491;2568;35
6924;32074;39590;2570;2582;26
6944;32091;40879;3938;2557;39
6964;32091;42258;2779;2586;33
6985;32091;39178;1848;2593;20
7005;32091;38698;2010;2592;32
7025;32091;39413;3380;2599;34
7045;32091;37395;2991;2591;37
7066;29081;36462;2728;2587;30
7086;29081;37102;2862;2574;31
7106;29081;40011;3117;2584;46
7126;29081;37962;2687;2573;34
7147;29081;36394;2730;2573;34
7167;29081;36068;1448;2592;46
7187;22907;39366;3089;2582;28
7207;22907;34174;3251;2556;35
7228;22907;34841;2604;2580;28
7248;22907;36069;2738;2582;52
7268;22907;38353;2748;2569;48
7288;22907;36569;4047;2574;45
7309;22907;34391;2228;2560;36
7329;18792;35364;1578;2568;30
7349;18792;37998;3061;2579;48
7369;18792;36267;2208;2583;37
7390;18792;34468;3689;2575;38
7410;18792;35152;3241;2578;42
7430;18792;36855;2367;2577;27
7450;18248;35991;2547;2556;49
7471;18248;33497;3842;2553;50
7491;18248;34349;2726;2568;70
7511;18248;34783;2594;2554;58
7531;18248;35146;1971;2534;44
7552;18248;35028;3268;2548;51
7572;19127;34687;3670;2581;60
7592;19127;37581;2605;2555;51
7612;19127;38390;2004;2546;59
7633;19127;37985;2484;2547;49
7653;19127;38767;1896;2571;37
7673;19127;36915;3459;2558;76
7693;19127;39178;3621;2556;72
7714;19915;38888;2604;2551;40
7734;19915;37228;1710;2562;43
7754;19915;36174;3067;2553;58
7774;19915;34462;3577;2559;75
7795;19915;35261;2079;2553;70
7815;19915;37490;2763;2541;51
7835;20360;35492;3194;2553;49
7855;20360;36454;3379;2554;59
7876;20360;33832;3421;2543;75
7896;20360;35228;3139;2544;84
7916;20360;36533;2109;2543;54
7936;20360;38034;2574;2552;56
7957;21852;35325;2871;2551;54
7977;21852;34283;2410;2542;95
7997;21852;36676;1773;2559;58
8017;21852;36154;2798;2565;76
8038;21852;37448;2221;2563;58
8058;21852;36476;2315;2538;75
8078;21852;33926;2895;2542;50
8098;23642;36414;3463;2542;63
8119;23642;36264;2761;2538;82
8139;23642;36794;2235;2540;78
8159;23642;35030;3168;2551;47
8179;23642;34797;2184;2540;71
8200;23642;35340;3036;2550;82
8220;24468;35688;1947;2548;66
8240;24468;37002;3577;2527;64
8260;24468;35437;2893;2536;59
8281;24468;35684;2288;2523;76
8301;24468;35118;3257;2547;60
8321;24468;35229;3362;2542;66
8341;25098;37674;2574;2545;80
8362;25098;37306;3128;2543;51
8382;25098;34023;3912;2536;66
8402;25098;32716;3303;2538;91
8422;25098;33682;1919;2548;62
8443;25098;33200;2983;2531;66
8463;25098;33727;2735;2528;59
8483;25453;31803;2937;2535;51
8503;25453;31091;1577;2528;58
8524;25453;32603;2997;2535;89
8544;25453;31561;2560;2535;73
8564;25453;32914;1748;2538;56
8584;25453;31538;2377;2527;79
8605;25793;32407;3656;2536;54
8625;25793;32159;3531;2555;65
8645;25793;32653;2031;2551;63
8665;25793;34100;2478;2555;76
8686;25793;31787;2127;2538;47
8706;25793;33999;2776;2538;55
8726;27401;32677;3070;2547;70
8746;27401;34768;4072;2559;69
8767;27401;33823;2365;2536;50
8787;27401;32178;1641;2504;40
8807;27401;33708;3147;2522;49
8827;27401;33625;2980;2563;49
8848;27401;33482;2240;2546;59
8868;29834;34152;2362;2497;67
8888;29834;33204;2980;2503;70
8908;29834;35117;3605;2544;47
8929;29834;34067;3822;2568;46
8949;29834;31922;3989;2548;51
8969;29834;34651;2854;2521;51
8989;31605;33003;2400;2542;48
9010;31605;33224;3391;2556;53
9030;31605;35156;2568;2555;50
9050;31605;34137;2770;2522;47
9070;31605;35149;1975;2528;38
9091;31605;35133;2112;2510;29
9111;32247;33026;2860;2553;40
9131;32247;34165;2517;2552;58
9151;32247;35840;2335;2553;36
